Year_indv,Sum of RPK,Sum of ASK,
1984,8463757707,11318402522,
1985,9167271366,12357081920,
1986,99045518962,13363458611,
1987,10879203411,14387024913,
1988,12110934245,15279439549,
1989,9338148662,1.23511E+11,
1990,11834346957,16399768817,
1991,16404539149,21743124909,
1992,16963773970,21792588229,
1993,19406340974,25207883483,
1994,22780160491,30504104742,
1995,24801538369,34268602145,
1996,26331394214,36698210546,
1997,26662899107,36494048719,
1998,26989587324,36513036139,
1999,27935985841,36774782582,
2000,30112669685,39361517247,
2001,30834554995,40608179376,
2002,30149233924,38595026541,
2003,33781478629,42442000510,
2004,38708620313,49270825840,
2005,40780253241,51851216735,
2006,43285072991,54706271002,
2007,45926346814,56555356525,
2008,49455769382,62534709399,
2009,50410818312,62247109997,
2010,52486628979,67643619805,
2011,55162243874,68704290815,
2012,59173693267,75421203572,
2013,61454327238,79419162281,
2014,47681022026,62120433670,
2015,33875473869,43995114765,
2016,34855937370,44855867703,
2017,35291674405,44442402239,
2018,35398598762,44058911562,
2019,35424659538,43989947053,
2020,10859771006,15340783505,